GM10847	GM12878	GM12891	GM12892	GM15510	GM18505	GM18951	GM19099	A549	HUVEC	IMR90	SGBS	Beas	AC16
0	17	4	5	9	8	0	8	0	6	4	9	21	0
0	12	11	0	0	0	0	24	23	16	20	32	0	5
12	0	0	0	0	0	0	4	0	0	5	18	0	0
6	8	5	0	0	0	0	0	27	0	27	38	0	0
0	11	0	0	0	0	0	0	20	0	12	30	0	0
7	32	7	14	0	0	8	0	0	0	19	53	14	0
0	12	0	0	0	0	7	0	21	1	13	32	0	0
6	5	9	4	6	5	10	6	10	4	19	44	8	6
5	9	4	3	0	0	5	0	17	9	18	47	0	0
0	10	6	0	0	0	0	5	19	0	5	27	8	0
0	21	17	5	0	3	0	0	0	0	28	10	9	7
0	13	0	6	0	0	0	0	13	8	0	50	0	0
0	4	8	0	4	0	0	0	0	0	0	38	18	0
4	0	0	0	0	0	0	4	18	0	34	15	0	0
6	12	5	4	0	0	0	0	10	12	7	2	7	6
4	0	4	4	0	5	0	0	8	8	12	36	0	5
0	0	13	0	3	0	0	16	28	5	42	5	6	0
0	0	0	0	0	0	12	11	28	12	7	46	0	0
0	16	6	0	0	0	0	0	14	10	38	93	5	0
0	22	0	0	0	0	0	0	22	12	39	42	23	0
0	7	0	0	0	6	0	0	46	0	25	21	0	0
4	35	7	0	0	0	0	4	9	9	4	46	0	0
0	10	2	0	0	0	6	7	20	7	6	35	5	0
0	0	11	0	0	0	0	0	8	6	17	29	0	0
5	0	0	4	0	0	0	0	0	0	15	14	8	0
0	8	0	0	0	0	0	5	0	5	11	19	14	0
0	7	0	0	0	0	11	0	44	1	10	65	0	0
0	16	0	0	4	5	0	0	10	0	0	16	0	0
0	0	0	0	0	0	0	0	0	4	0	53	34	0
0	4	4	0	0	0	0	0	7	8	6	59	9	8
0	11	0	0	0	0	0	0	14	0	52	47	0	0
5	0	0	0	0	0	0	0	0	12	41	63	6	0
5	0	20	5	0	4	0	20	14	0	4	45	0	0
4	26	0	0	0	0	0	0	11	17	28	24	0	0
0	29	12	1	7	4	0	0	61	19	24	55	0	6
0	6	9	11	0	0	5	0	54	4	0	6	0	0
0	0	14	0	0	0	5	0	25	7	10	23	0	0
4	28	8	4	0	0	0	0	18	0	11	16	0	0
0	0	0	5	3	1	0	0	6	6	6	0	0	0
0	0	0	0	0	0	0	0	10	0	15	44	0	0
4	8	5	4	0	0	0	0	0	6	0	62	0	0
0	15	0	0	0	5	0	12	64	30	16	116	0	0
0	4	7	0	0	0	0	4	32	0	4	56	0	0
0	0	10	0	0	0	0	0	10	10	38	38	14	0
0	0	4	4	0	4	7	0	7	0	0	27	0	5
0	14	0	3	4	0	0	3	10	8	10	36	10	0
0	12	7	0	0	0	0	5	10	0	21	6	8	0
0	20	10	5	5	0	0	0	35	0	6	27	0	0
0	0	5	4	0	0	8	0	14	0	4	36	6	0
5	47	13	0	4	0	0	0	51	8	15	15	15	7
0	6	18	7	0	0	0	8	0	0	13	51	16	3
0	11	0	0	0	0	0	11	14	3	31	46	6	0
0	23	0	0	1	0	0	5	11	7	10	18	6	5
0	0	2	0	0	0	0	7	8	23	41	109	22	0
0	12	4	0	0	0	0	5	20	16	14	26	18	10
0	0	0	0	0	0	0	6	75	0	15	101	0	0
6	15	0	0	0	0	7	0	10	48	6	19	0	0
0	8	0	0	0	0	0	0	9	0	10	57	0	0
0	8	14	0	0	5	0	5	33	0	10	29	0	0
0	38	12	0	0	0	0	6	22	4	29	75	0	3
0	26	14	0	0	5	0	0	9	4	36	33	0	0
0	11	7	0	4	0	0	20	16	11	32	5	6	0
0	9	0	0	4	0	1	0	44	5	17	24	0	0
0	4	6	0	4	4	4	0	20	8	34	57	0	0
0	6	10	4	0	0	0	0	16	10	7	40	16	0
0	4	0	4	0	0	4	4	0	0	20	13	19	0
0	6	0	0	0	3	2	8	0	11	27	36	0	0
0	12	12	5	5	0	0	4	25	0	18	25	0	0
0	4	0	0	0	4	7	0	12	15	13	10	14	0
0	26	8	9	0	0	0	9	0	0	14	75	13	0
0	8	0	0	0	7	0	0	5	0	10	65	9	0
0	33	10	0	3	0	4	10	7	0	28	30	0	0
5	29	0	0	0	0	4	0	0	0	14	24	0	0
5	9	6	0	0	4	4	0	9	0	11	33	45	0
0	0	5	0	0	0	0	0	15	13	25	26	0	5
0	4	0	0	0	0	0	4	14	7	8	37	12	0
0	11	13	3	0	0	0	0	18	0	0	11	33	0
0	4	17	0	0	0	0	0	0	7	13	32	6	0
0	0	13	13	0	0	0	0	8	21	13	49	0	0
0	12	0	4	0	0	0	15	27	30	28	80	16	0
