GM10847	GM12878	GM12891	GM12892	GM15510	GM18505	GM18951	GM19099	A549	HUVEC	IMR90	SGBS	Beas	AC16
0	0	4	0	0	0	0	0	0	0	0	14	0	0
4	27	4	0	4	0	0	4	8	5	5	36	7	0
0	0	0	0	0	0	0	0	15	0	0	0	7	0
0	0	0	3	4	0	0	0	0	0	0	19	0	0
0	0	13	3	0	0	0	5	0	0	0	19	0	0
0	14	8	0	0	4	0	0	0	0	0	15	0	0
0	0	0	0	0	0	0	0	0	0	0	15	10	0
0	0	0	0	0	0	0	0	0	0	10	28	6	0
0	15	5	0	0	11	0	0	0	0	11	13	0	0
0	6	0	0	0	0	0	0	26	0	0	21	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3	0	0	0	5	0	0
0	0	6	0	0	0	0	0	13	0	9	24	0	0
0	0	0	0	0	0	4	0	0	9	10	19	0	0
0	0	0	0	0	0	0	4	21	0	0	31	8	3
0	5	0	4	0	0	0	0	0	0	5	10	0	4
0	12	4	0	0	0	0	0	0	0	9	6	0	0
0	0	0	0	0	0	0	0	0	5	8	6	0	0
0	4	0	0	0	0	0	0	12	0	5	40	0	0
0	0	0	0	4	4	0	0	2	0	12	7	0	0
0	7	0	0	0	0	0	0	11	0	0	7	0	0
0	10	10	0	0	0	0	0	12	8	3	13	0	0
0	0	0	0	0	0	0	0	0	0	0	7	0	0
0	0	0	0	0	0	0	0	0	16	8	10	0	0
0	5	0	0	0	0	4	0	0	0	9	36	0	0
0	0	0	0	4	0	0	5	0	5	5	17	0	0
0	20	0	3	0	0	0	7	12	12	8	12	0	0
0	0	0	0	0	0	0	4	12	0	0	29	0	0
0	0	0	0	0	0	0	0	29	0	0	5	0	0
0	0	10	0	0	0	0	0	0	8	4	0	6	7
0	8	0	0	0	0	0	0	0	0	0	0	0	0
0	12	11	6	0	0	0	0	0	0	18	5	7	0
0	5	6	0	0	0	0	0	7	0	0	40	6	0
0	8	4	0	0	0	0	0	0	7	0	29	0	0
0	4	0	0	0	0	0	0	5	0	5	29	0	0
0	0	0	0	0	0	0	0	0	0	0	12	0	0
0	0	0	0	0	0	3	0	6	12	0	5	0	0
0	0	0	0	0	0	0	0	10	0	5	10	0	0
0	0	11	0	4	0	0	12	8	17	35	16	18	0
4	17	0	0	0	0	0	0	0	0	8	29	0	0
0	0	0	0	0	0	0	6	0	6	17	11	15	0
0	0	5	0	0	0	0	0	0	4	10	32	0	0
0	2	0	0	0	5	0	0	0	0	11	5	0	0
4	5	0	0	0	0	0	0	0	36	21	6	0	0
0	5	0	0	0	0	6	0	0	4	0	4	0	0
0	0	0	0	0	0	0	0	0	0	20	26	0	4
0	0	6	0	0	0	0	0	38	23	9	44	0	0
0	0	4	0	0	0	0	0	7	0	12	44	17	0
0	8	4	0	0	0	0	6	12	4	0	49	0	0
0	0	0	0	0	0	0	5	0	0	9	29	31	0
0	23	7	0	0	0	0	4	0	0	7	39	6	0
5	0	0	0	0	0	0	3	0	0	4	6	7	0
4	0	0	0	0	0	0	0	8	0	15	22	0	0
0	0	5	0	0	0	0	0	17	0	10	9	18	0
0	4	0	0	0	0	5	0	0	0	0	8	0	0
0	0	4	5	0	0	0	0	0	0	0	7	0	0
0	0	0	0	0	0	0	0	14	0	0	12	0	0
